No	Judul Tesis	Klasifikasi	Skor	Keywords	Klasifikasi_2	Skor_2	Keywords_2	Perlu_Review
4	PENGEMBANGAN MODEL HUBUNGAN INDIVIDUAL AMBIDEXTERITY PEMILIK TERHADAP RESILIENSI ORGANISASI: PERAN MEDIASI BUSINESS PROCESS MANAGEMENT AMBIDEXTERITY CAPABILITY PADA UMKM BIDANG FESYEN	Manajemen Industri	8	ambidexterity;UMKM;business process;management;organisasi	Sistem Industri dan Rantai Nilai	2	resiliensi	False
5	PENGEMBANGAN MODEL PERUMUSAN STRATEGI MITIGASI RISIKO OPERASIONAL BERBASIS TAHAP PERTUMBUHAN ORGANISASI DAN PROSES BISNIS UMKM: STUDI KASUS HISTORIS PT AJI DAN PT SMI	Manajemen Industri	6	UMKM;proses bisnis;organisasi;strategi	Sistem Industri dan Rantai Nilai	4	mitigasi risiko;strategi;pertumbuhan	False
7	PENGEMBANGAN MODEL MATURITAS MANAJEMEN PERUBAHAN DALAM TRANSFORMASI DIGITAL PADA UMKM	Manajemen Industri	6	UMKM;manajemen;perubahan;transformasi;transformasi digital	Sistem Informasi dan Keputusan	2	digital;transformasi digital	False
8	PENGEMBANGAN MODEL PENYEBAB PENOLAKAN INDIVIDU TERHADAP PERUBAHAN DI BUMN	Manajemen Industri	1	perubahan		0		False
9	PENGEMBANGAN MODEL AGILE BUSINESS PROCESS MANAGEMENT (BPM) SEBAGAI MEDIATOR DALAM HUBUNGAN STRATEGIC AGILITY DAN ORGANIZATIONAL PERFORMANCE DENGAN MODERASI NETWORKING CAPABILITY PADA UMKM RAJUT BINONG JATI, KOTA BANDUNG	Manajemen Industri	10	UMKM;business process;BPM;agile;management;performance	Sistem Industri dan Rantai Nilai	1	strategic	False
10	PENGEMBANGAN STRATEGI DEMARKETING PAKAIAN BEKAS IMPOR TERHADAP MINAT BELI KONSUMEN BERDASARKAN FAKTOR INTENSI MENGURANGI PEMBELIAN	Manajemen Industri	4	pembelian;strategi;konsumen	Sistem Industri dan Rantai Nilai	3	impor;strategi	True
11	PENGEMBANGAN INTEGRASI MODEL KESIAPAN DAN KEMATANGAN MANAJEMEN PERUBAHAN PADA ANAK PERUSAHAN BUMN DI INDONESIA	Manajemen Industri	2	manajemen;perubahan		0		False
12	PENGEMBANGAN MODEL KESIAPAN DIGITAL UKM	Manajemen Industri	2	UKM	Sistem Informasi dan Keputusan	1	digital	True
16	DETERMINAN PERILAKU INOVATIF DI STARTUP INDONESIA: INVESTIGASI PADA FAKTOR INDIVIDU DAN ORGANISASI	Manajemen Industri	3	startup;organisasi		0		False
17	PENGEMBANGAN MODEL ORGANIZATIONAL AMBIDEXTERITY PADA PT PLN (PERSERO) UNIT INDUK WILAYAH BANGKA BELITUNG	Manajemen Industri	2	ambidexterity		0		False
19	PENGEMBANGAN MODEL ANALISA PERAN AI-AR PADA PROSES PENGAMBILAN KEPUTUSAN PELANGGAN M-COMMERCE DALAM MENDORONG INTENSI PENGGUNAAN BERKELANJUTAN	Manajemen Industri	3	pengambilan keputusan;pelanggan	Sistem Industri dan Rantai Nilai	2	berkelanjutan	True
27	PENGEMBANGAN MODEL MATURITAS MANAJEMEN PORTOFOLIO PROYEK AMBIDEXTERITY UNTUK KONTEKS PENGELOLAAN INISIATIF PERBAIKAN DAN INOVASI PROSES BISNIS PADA PERUSAHAAN ENGINEERING, PROCUREMENT AND CONSTRUCTION (EPC)	Manajemen Industri	11	inovasi;ambidexterity;portofolio;procurement;proses bisnis;manajemen		0		False
29	STRATEGI STAKEHOLDER MANAGEMENT BERDASARKAN PROSES BISNIS DARI TIAP TAHAP PERTUMBUHAN ORGANISASI (STUDI KASUS DI RESORT KAMPUNG SUMBER ALAM GARUT)	Manajemen Industri	5	proses bisnis;management;organisasi;strategi	Sistem Industri dan Rantai Nilai	4	stakeholder;strategi;pertumbuhan	True
35	PENGARUH DISKON, KELANGKAAN, DAN KAMPANYE TANGGAL KEMBAR TERHADAP PERILAKU PEMBELIAN IMPULSIF DENGAN PENDEKATAN NEUROMARKETING	Manajemen Industri	2	pembelian		0		False
41	MODEL PEMILIHAN PEMASOK BERORIENTASI RISIKO BERBASIS FUZZY CLUSTER ANALYSIS DAN FUZZY ANALYTIC HIERARCHY PROCESS	Manajemen Industri	2	pemasok		0		False
44	PEMILIHAN PRODUK INSTRUMEN ENERGI TERBARUKAN BERBASIS PASAR DI INDONESIA BERDASARKAN PREFERENSI PELANGGAN, REGULATOR DAN PEMASOK (KASUS: SEKTOR INDUSTRI TEKSTIL DAN ALAS KAKI)	Manajemen Industri	3	pemasok;pelanggan	Sistem Manufaktur	2	industri;produk	True
45	POTENSI PEMANFAATAN ARTIFICIAL INTELLIGENCE (AI) DALAM IMPLEMENTASI SISTEM MANAJEMEN TALENTA (ANALISIS STUDI KASUS KUALITATIF DI BUMN, SWASTA, DAN DEPARTEMEN PEMERINTAHAN)	Manajemen Industri	3	talenta;manajemen	Sistem Informasi dan Keputusan	3	artificial intelligence;AI	True
48	STUDI PENERIMAAN PENGGUNAAN PEMBANGKIT LISTRIK TENAGA SURYA ATAP PADA MASYARAKAT UMUM DAN PEGAWAI PT PLN (PERSERO)	Manajemen Industri	2	pegawai	Sistem Informasi dan Keputusan	2	penerimaan	True
50	PENGARUH SOCIAL MEDIA MARKETING ACTIVITIES TERHADAP BRAND EQUITY DAN PURCHASE INTENTION	Manajemen Industri	4	marketing;brand	Sistem Informasi dan Keputusan	1	social media	False
54	PERAN AGILE ORGANIZATION DAN KNOWLEDGE SHARING DALAM PENINGKATAN ORGANIZATIONAL INNOVATION MELALUI ABSORPTIVE CAPACITY DAN CREATIVITY DI PT PLN (PERSERO)	Manajemen Industri	5	innovation;agile;organization		0		False
55	PENGEMBANGAN KERANGKA KERJA PENENTUAN INDIKATOR KINERJA PROSES BISNIS SEBAGAI DASAR UNTUK IDENTIFIKASI RISIKO DI PT PLN (PERSERO)	Manajemen Industri	3	proses bisnis;kinerja		0		False
56	PENGEMBANGAN MODEL VALUASI FINANSIAL DENGAN PERSPEKTIF RISIKO PADA INVESTASI PEMBANGKIT LISTRIK HYBRID	Manajemen Industri	2	investasi		0		False
57	PENGEMBANGAN MODEL MATURITAS DIGITAL SUPPLY CHAIN MANAGEMENT DI PT PLN NUSANTARA POWER	Manajemen Industri	3	supply chain management;management	Sistem Manufaktur	2	supply chain	True
58	PENGEMBANGAN MODEL ORGANIZATIONAL RESILIENCE MELALUI ORGANIZATIONAL AMBIDEXTERITY DAN BUSINESS PROCESS MANAGEMENT AMBIDEXTERITY CAPABILITY: PERAN MODERASI NETWORKING	Manajemen Industri	5	ambidexterity;business process;management	Sistem Industri dan Rantai Nilai	2	resilience	False
59	PENGEMBANGAN MODEL MATURITAS ORGANIZATIONAL AMBIDEXTERITY PADA DEALER OTOMOTIF	Manajemen Industri	2	ambidexterity		0		False
60	PENGEMBANGAN MODEL MATURITAS BUSINESS PROCESS MANAGEMENT (BPM) AMBIDEXTERITY PADA USAHA KECIL DAN MENENGAH (UKM)	Manajemen Industri	11	ambidexterity;UKM;usaha kecil;business process;BPM;management		0		False
63	EFFEKTIFITAS PENGARUH GELOMBANG ULTRASONIK TERHADAP NILAI IQ DAN ASPEK KECERDASAN (STUDI KASUS PADA SISWA KELAS 2 IPA SMU PLUS AL-GHIFARI)	Manajemen Industri	1	nilai		0		False
71	PERANCANGAN MODEL STRATEGI CUSTOMER RELATIONSHIP MANAGEMENT (CRM) BERDASARKAN KETERLIBATAN PELANGGAN DAN KAPABILITAS CRM PERUSAHAAN DENGAN STUDI KASUS PT. EIGERINDO MULTIPRODUK INDUSTRI	Manajemen Industri	4	management;strategi;customer;pelanggan	Sistem Informasi dan Keputusan	4	CRM;customer relationship management	True
73	PENGEMBANGAN MODEL PENGARUH DATA-DRIVEN ORIENTATION TERHADAP INNOVATION OUTCOMES	Manajemen Industri	2	innovation		0		False
75	MODEL PENGAMBILAN KEPUTUSAN MULTI-KRITERIA HIBRIDA UNTUK MENGEVALUASI PRAKTIK EFISIENSI ENERGI DI INDUSTRI TEKSTIL INDONESIA	Manajemen Industri	2	pengambilan keputusan	Sistem Manufaktur	1	industri	True
76	PENGEMBANGAN MODEL KAPABILITAS BPM EKSPLOITASI DAN BPM EKSPLORASI TERHADAP KETAHANAN ORGANISASI PADA UMKM MODE	Manajemen Industri	5	UMKM;BPM;organisasi	Sistem Industri dan Rantai Nilai	2	ketahanan	False
77	PENGEMBANGAN MODEL KAPABILITAS BPM EKSPLOITATIF DAN EKSPLORATIF TERHADAP KINERJA UMKM MODE KOTA BANDUNG	Manajemen Industri	5	UMKM;BPM;kinerja		0		False
81	PENGEMBANGAN MODEL REWARD PADA REFERRAL REWARD PROGRAM DI PERUSAHAAN DELIVERY SERVICES BERDASARKAN PREFERENSI PELANGGAN (KASUS PT X)	Manajemen Industri	1	pelanggan		0		False
84	ANALISIS HAMBATAN DAN STRATEGI DALAM PENERAPAN MANUFAKTUR BERKELANJUTAN PADA INDUSTRI KECIL DAN MENENGAH INDONESIA MENGGUNAKAN FUZZY AHP DAN FUZZY TOPSIS	Manajemen Industri	5	AHP;TOPSIS;strategi	Sistem Manufaktur	3	manufaktur;industri	False
88	PEMECAHAN MASALAH PEMILIHAN PEMASOK BERKELANJUTAN MENGGUNAKAN FUZZY AHP DAN FUZZY TOPSIS DI INDUSTRI TEKSTIL	Manajemen Industri	6	AHP;TOPSIS;pemasok	Sistem Industri dan Rantai Nilai	2	berkelanjutan	False
99	MODEL MATURITAS LEARNING ORGANIZATION UNTUK INDUSTRI BATIK: STUDI KASUS PADA TAHAP PERTUMBUHAN ORGANISASI	Manajemen Industri	4	learning organization;organisasi;organization	Sistem Manufaktur	1	industri	False
100	PENGEMBANGAN MODEL INTENSI MEMBELI SEPEDA MOTOR LISTRIK KONSUMEN DI PULAU JAWA	Manajemen Industri	1	konsumen		0		False
105	FAKTOR UTAMA YANG MEMPENGARUHI PENGGUNAAN KNOWLEDGE MANAGEMENT SYSTEM (KMS) DILIHAT DARI ASPEK SOSIO-TEKNIS MENGGUNAKAN MODEL UNIFIED THEORY OF ACCEPTANCE USE OF TECHNOLOGY 2 (UTAUT2)	Manajemen Industri	3	knowledge management;management	Sistem Informasi dan Keputusan	2	acceptance	True
112	PENGEMBANGAN MODEL PENGARUH DATA ANALYTICS USE, INNOVATION AMBIDEXTERITY, DAN SUPPLY CHAIN COLLABORATION TERHADAP SUSTAINABLE SUPPLY CHAIN PERFORMANCE	Manajemen Industri	5	innovation;ambidexterity;performance	Sistem Manufaktur	2	supply chain	False
114	USULAN MODEL PERHITUNGAN DAN PERBAIKAN PROSES BISNIS PADA PENYUSUNAN HARGA PERKIRAAN SENDIRI (HPS) UNTUK IMPOR BAHAN BAKU PUPUK NPK MELALUI PENGADAAN TERSENTRALISASI	Manajemen Industri	4	pengadaan;proses bisnis	Sistem Industri dan Rantai Nilai	2	impor	False
126	PENGEMBANGAN MODEL HUBUNGAN COOPETITION TERHADAP LOGISTICS SERVICE QUALITY DENGAN MEMPERTIMBANGKAN KARAKTERISTIK PERUSAHAAN JASA KURIR, EKSPRES, DAN PAKET	Manajemen Industri	1	service		0		False
