No	Judul Tesis	Klasifikasi	Skor	Keywords	Klasifikasi_2	Skor_2	Keywords_2	Perlu_Review
160	ANALISIS JALUR DISTRIBUSI MINYAK ATSIRI DENGAN MODEL INPUT OUTPUT (STUDI KASUS: IKM MINYAK ATSIRI AKAR WANGI DI KABUPATEN GARUT)	Sistem Manufaktur	2	distribusi		0		False
164	PENGEMBANGAN ALGORITMA SIMULATED ANNEALING UNTUK LINTASAN PERAKITAN DENGAN MEMPERTIMBANGKAN JENIS TOOLS DAN WAKTU SETUP PADA KOLABORASI MANUSIA-ROBOT	Sistem Manufaktur	4	perakitan;robot		0		False
167	ALGORITMA GENETIKA DENGAN PENGEMBANGAN PARAMETER BATAS ATAS WAKTU SIKLUS PADA LINTASAN PERAKITAN KOLABORASI MANUSIA-ROBOT	Sistem Manufaktur	4	perakitan;robot		0		False
186	MODEL PENJADWALAN BATCH MULTI ITEM PADA MESIN TUNGGAL BERPROSES BATCH UNTUK MEMINIMUMKAN TOTAL WAKTU TINGGAL AKTUAL SELURUH PART	Sistem Manufaktur	3	penjadwalan;mesin		0		False
195	PENGEMBANGAN MODEL PRA-ADOPSI TEKNOLOGI INDUSTRI 4.0 PADA UMKM MANUFAKTUR PERMESINAN KOTA KEDIRI DI ERA PASCA-PANDEMI	Sistem Manufaktur	3	manufaktur;industri	Manajemen Industri	3	UMKM;adopsi	True
200	PENGEMBANGAN ALGORITMA ANT COLONY OPTIMIZATION UNTUK PERANCANGAN LINTASAN PERAKITAN KOLABORASI MANUSIA DAN ROBOT DENGAN MEMPERTIMBANGKAN WAKTU SETUP	Sistem Manufaktur	4	perakitan;robot		0		False
205	PENGEMBANGAN MODEL DAN ALGORITMA MULTI-COMPARTMENT VEHICLE ROUTING PROBLEM WITH CONTINUOUSLY FLEXIBLE COMPARTMENT SIZES (MCVRP-CFCS) DENGAN MEMPERTIMBANGKAN TIME WINDOWS, MULTI TRIPS DAN LAYANAN PEMBERSIHAN UNTUK MEMINIMASI BIAYA DISTRIBUSI PRODUK HALAL	Sistem Manufaktur	3	distribusi;produk	Sistem Industri dan Rantai Nilai	2	vehicle routing	True
214	PENGEMBANGAN MODEL KEPUTUSAN BERBASIS INTEGRASI METODE SIX SIGMA DAN ANALYTIC HIERARCHY PROCESS (AHP) : STUDI KASUS DI BAGIAN DRUM PLANT PERTAMINA UP IV CILACAP	Sistem Manufaktur	2	six sigma	Manajemen Industri	2	AHP	True
218	MODEL SISTEM RESI GUDANG DALAM RANTAI PASOK BERAS DI JAWA BARAT UNTUK PENINGKATAN KESEJAHTERAAN PETANI DENGAN PENDEKATAN DINAMIKA SISTEM	Sistem Manufaktur	4	rantai pasok;gudang		0		False
221	PENJADWALAN DYNAMIC DOUBLE-HOIST PADA AREA SURFACE TREATMENT DENGAN METODE HEURISTIK	Sistem Manufaktur	2	penjadwalan		0		False
230	PENGEMBANGAN METODOLOGI DAN MODEL OPTIMISASI LEAN-SUSTAINABILITYPADA PROSES BIO-STONE WASHING	Sistem Manufaktur	1	lean		0		False
233	PERANCANGAN MODEL KEMATANGAN DIGITAL BERDASARKAN PROSES INTERNAL DAN EKSTERNAL PADA INDUSTRI OTOMOTIF DI INDONESIA	Sistem Manufaktur	1	industri	Sistem Informasi dan Keputusan	1	digital	True
243	PENGEMBANGAN MODEL PERSEDIAAN SUKU CADANG DENGAN KARAKTERISTIK PERMINTAAN PROBABILISTIK UNTUK MAKSIMASI PROFIT YANG MEMPERTIMBANGKAN BIAYA DAN FILL RATE SECARA TERINTEGRASI DENGAN SISTEM KLASIFIKASI PERSEDIAAN	Sistem Manufaktur	2	persediaan	Manajemen Industri	1	biaya	True
249	PENGEMBANGAN DOTTED BOARD MODEL PERMASALAHAN NESTING PADA PENEMPATAN PROSES SURFACE TREATMENT DI PT DIRGANTARA INDONESIA	Sistem Manufaktur	2	nesting	Sistem Industri dan Rantai Nilai	2	dirgantara	True
250	PENGEMBANGAN MODEL MATURITAS LEARNING ORGANIZATION PADA INDUSTRI LOGISTIK LAST MILE	Sistem Manufaktur	3	logistik;industri	Manajemen Industri	3	learning organization;organization	True
253	PENGEMBANGAN MODEL EMPLOYER BRANDING PADA BUMN INDUSTRI MANUFAKTUR PERTAHANAN INDONESIA	Sistem Manufaktur	3	manufaktur;industri		0		False
257	PENGEMBANGAN MODEL PREDIKSI KELELAHAN PADA PEKERJAAN MANUAL MATERIAL HANDLING MENGGUNAKAN MACHINE LEARNING	Sistem Manufaktur	2	material handling	Ergonomi dan Rekayasa Kerja	2	kelelahan	True
261	MODEL INTEGRASI PENJADWALAN BATCH PRODUKSI DAN BATCH KIRIM PADA FLOW SHOP TIGA TAHAP DENGAN URUTAN MESIN PEMROSES BATCH-JOB-BATCH UNTUK MEMINIMASI TOTAL BIAYA SIMPAN DAN BIAYA KIRIM	Sistem Manufaktur	4	penjadwalan;produksi;mesin	Manajemen Industri	1	biaya	False
262	MODEL PENJADWALAN BATCH PADA FLOWSHOP TIGA TAHAP DENGAN URUTAN MESIN PEMROSES JOB PEMROSES BATCH PEMROSES JOB UNTUK MEMINIMASI TOTAL WAKTU TINGGAL AKTUAL	Sistem Manufaktur	3	penjadwalan;mesin		0		False
264	PERANCANGAN MODEL SISTEM HALAL TRACEABILITY PRODUK KERUDUNG MOTIF JAHIT TEPI DI PT. YKI DAN PT. KPS BANDUNG	Sistem Manufaktur	1	produk		0		False
266	PENGEMBANGAN MODEL LINTASAN PERAKITAN KOLABORASI MANUSIA DAN ROBOT DENGAN MEMPERTIMBANGKAN JUMLAH MAKSIMUM TOOLS ROBOT DAN WAKTU SETUP ROBOT	Sistem Manufaktur	4	perakitan;robot		0		False
274	PENGEMBANGAN MODEL PENENTUAN HARGA DAN LEAD TIME DAN ALGORITMA PARTICLE SWARM OPTIMIZATION PADA SISTEM MAKE TO ORDER DI INDUSTRI FESYEN	Sistem Manufaktur	1	industri		0		False
278	PERANCANGAN PLATFORM SCHEDULING BERBASIS CLOUD COMPUTING	Sistem Manufaktur	2	scheduling	Sistem Informasi dan Keputusan	2	platform;cloud	True
279	PENGEMBANGAN MODEL NEGOSIASI DENGAN FORWARD DAN BACKWARD LINKAGE PADA RANTAI PASOK 3-ESELON BERBASIS MULTI-AGENT SYSTEM	Sistem Manufaktur	2	rantai pasok	Sistem Informasi dan Keputusan	2	multi-agent	True
282	PENGEMBANGAN MODEL PENILAIAN PEMASOK BERORIENTASI RISIKO DENGAN MELIBATKAN RISIKO AKTIVITAS PADA KASUS PROJECT-DRIVEN SUPPLY CHAIN	Sistem Manufaktur	2	supply chain	Manajemen Industri	2	pemasok	True
285	KAJIAN POTENSI PENERAPAN LEAN DALAM MEMPERBAIKI KUALITAS LAYANAN PASIEN BPJS DI RUMAH SAKIT	Sistem Manufaktur	1	lean	Manajemen Industri	1	layanan	True
287	PENGEMBANGAN MODEL LINTAS PERAKITAN KOLABORASI MANUSIA DAN ROBOT DENGAN MEMPERTIMBANGKAN WAKTU SETUP	Sistem Manufaktur	4	perakitan;robot		0		False
288	PENGEMBANGAN MODEL PENJADWALAN REAKTIF DENGAN KRITERIA PERFORMANSI ROBUSTNESS UNTUK MEMINIMASI GANGGUAN KERUSAKAN MESIN	Sistem Manufaktur	3	penjadwalan;mesin		0		False
289	PENGEMBANGAN MODEL PENJADWALAN RUANG OPERASI DENGAN MEMPERTIMBANGKAN DOKTER DAN PRIORITAS PASIEN MENGGUNAKAN ALGORITMA GENETIKA	Sistem Manufaktur	2	penjadwalan		0		False
290	MODEL PENJADWALAN BATCH PADA FLOWSHOP DUA TAHAP YANG MEMPROSES DUA ITEM DENGAN MEMPERTIMBANGKAN PROSES DETERIORASI PADA TAHAP SATU DAN PROSES BELAJAR-LUPA PADA TAHAP DUA UNTUK MEMINIMUMKAN TOTAL WAKTU TINGGAL AKTUAL	Sistem Manufaktur	2	penjadwalan		0		False
292	MODEL INTEGRASI PENJADWALAN BATCH PADA BATCH PROCESSOR TUNGGAL DENGAN PENJADWALAN PERAWATAN UNTUK MEMINIMUMKAN BIAYA SIMPAN, SETUP, PERAWATAN, DAN PENGERJAAN ULANG	Sistem Manufaktur	2	penjadwalan	Manajemen Industri	1	biaya	True
293	MODEL PENJADWALAN BATCH PADA FLOWSHOP DUA TAHAP YANG MEMPROSES DUA ITEM DENGAN MEMPERTIMBANGKAN PROSES DETERIORASI PADA TAHAP SATU DAN PROSES BELAJAR-LUPA PADA TAHAP DUA UNTUK MEMINIMUMKAN TOTAL WAKTU TINGGAL AKTUAL	Sistem Manufaktur	2	penjadwalan		0		False
294	OPTIMISASI KEGIATAN INSPEKSI DAN PEMELIHARAAN UNTUK MEMINIMASI TOTAL BIAYA PEMELIHARAAN DENGAN RESTRIKSI AVAILABILITY PADA MESIN PRODUKSI	Sistem Manufaktur	2	produksi;mesin	Manajemen Industri	1	biaya	True
296	ALGORITMA HEURISTIK PERMASALAHAN NESTING MULTI STACK PADA MESIN NC ROUTER DI PT. DIRGANTARA INDONESIA	Sistem Manufaktur	3	nesting;mesin	Sistem Industri dan Rantai Nilai	2	dirgantara	True
297	OPTIMASI KEGIATAN INPEKSI DAN PEMELIHARAAN UNTUK MEMINIMASI TOTAL BIAYA PEMELIHARAAN DENGAN RESTRIKSI AVAILABILITY PADA MESIN PRODUKSI	Sistem Manufaktur	2	produksi;mesin	Manajemen Industri	1	biaya	True
302	MODEL PERSEDIAAN PROBABILISTIK YANG MEMPERTIMBANGKAN BATASAN KAPASITAS TEMPAT PENYIMPANAN, LAJU PENAMBAHAN BOBOT DAN KEMATIAN SERTA SKEMA PEMBAYARAN DITUNDA	Sistem Manufaktur	2	persediaan		0		False
304	PENGEMBANGAN MODEL DINAMIKA SISTEM RANTAI PASOK TERTUTUP E-COMMERCE SEBAGAI DASAR PERANCANGAN KEBIJAKAN DALAM PENINGKATAN KEPUASAN PELANGGAN	Sistem Manufaktur	2	rantai pasok	Sistem Informasi dan Keputusan	2	e-commerce	True
310	ANALISIS BIAYA GARANSI PRODUK YANG DILINDUNGI HUKUM LEMON DENGAN MEMPERTIMBANGKAN INTERAKSI KERUSAKAN	Sistem Manufaktur	1	produk	Manajemen Industri	1	biaya	True
313	MODEL TERINTEGRASI ANTARA PENJADWALAN PRODUKSI DAN PERENCANAAN MAINTENANCE UNTUK MEMINIMASI TOTAL BIAYA PRODUKSI	Sistem Manufaktur	4	penjadwalan;produksi;maintenance	Manajemen Industri	1	biaya	False
314	MODEL PENJADWALAN BATCH PADA HYBRID FLOW SHOP DENGAN PERAKITAN DAN DEDICATED MACHINE UNTUK MEMINIMUMKAN TOTAL WAKTU TINGGAL AKTUAL	Sistem Manufaktur	4	perakitan;penjadwalan		0		False
317	MODEL PENJADWALAN BATCH PADA HYBRID FLOW SHOP DENGAN PERAKITAN DAN DEDICATED MACHINE UNTUK MEMINIMUMKAN TOTAL WAKTU TINGGAL AKTUAL	Sistem Manufaktur	4	perakitan;penjadwalan		0		False
318	PENGEMBANGAN ALAT UKUR KESIAPAN BALAI DALAM MENGHADAPI INDUSTRI 4.0	Sistem Manufaktur	1	industri	Sistem Industri dan Rantai Nilai	1	industri 4.0	True
320	MODEL DAN ALGORITMA MASALAH PERUTEAN KENDARAAN UNTUK PENGIRIMAN CAMPURAN JENIS PRODUK TERSERTIFIKASI HALAL DAN NON HALAL TAPI DIIZINKAN	Sistem Manufaktur	1	produk	Sistem Industri dan Rantai Nilai	1	kendaraan	True
323	PENGEMBANGAN MODEL KETERLACAKAN HORIZONTAL, VERTIKAL DAN PENDETEKSI DINI BATAS KUALITAS DI INDUSTRI OTOMOTIF	Sistem Manufaktur	1	industri		0		False
324	PREDIKSI ANALISIS NUMERIK TERHADAP SHRINKAGE DAN WARPAGE PADA PROSES INJECTION MOLDING	Sistem Manufaktur	2	injection molding	Manajemen Industri	1	prediksi	True
325	ARTIFICIAL NEURAL NETWORK MODEL FOR SURFACE ROUGHNESS PREDICTION IN CNC MILLING MACHINING	Sistem Manufaktur	4	CNC;machining	Sistem Informasi dan Keputusan	2	neural network	False
326	ANALISIS PRODUK REMANUFAKTUR BERGARANSI DENGAN DIBERLAKUKAN HUKUM LEMON	Sistem Manufaktur	1	produk		0		False
333	MODEL KESIAPAN SMART FACTORY STUDI KASUS: INDUSTRI MAKANAN DAN MINUMAN DI INDONESIA	Sistem Manufaktur	1	industri		0		False
337	MODEL PENJADWALAN ASESMEN SERTIFIKASI UNTUK MEMINIMALISI KETIDAKSEIMBANGAN BEBAN KERJA BULANAN	Sistem Manufaktur	2	penjadwalan	Sistem Industri dan Rantai Nilai	2	sertifikasi	True
338	PENGEMBANGAN STRATEGI UNTUK INDUSTRI MESIN PERKAKAS DI INDONESIA	Sistem Manufaktur	2	industri;mesin	Sistem Industri dan Rantai Nilai	1	strategi	True
340	ANALISIS KEUNGGULAN KOMPARATIF TEKSTIL DAN PRODUK TEKSTIL MENGGUNAKAN PRODUCT MAPPING TOOLS	Sistem Manufaktur	1	produk		0		False
342	ANALYZING CERAMIC TILES SUPPLY CHAIN USING FUZZY ANALYTICAL HIERARCHY PROCESS AND RISK FAILURE MODE EFFECT ANALYSIS	Sistem Manufaktur	2	supply chain		0		False
348	PENGEMBANGAN MODEL PREDIKSI PERMINTAAN DAN PERENCANAAN KEBIJAKAN MAKE-TO-ORDER/ MAKE-TO-STOCK DENGAN MEMPERTIMBANGKAN SIKLUS HIDUP PRODUK DI INDUSTRI FESYEN	Sistem Manufaktur	2	industri;produk	Sistem Industri dan Rantai Nilai	1	kebijakan	True
349	THE INFLUENCE OF TRUST ON CONSUMER BEHAVIORAL INTENTION TO USE ONLINE TRANSPORTATION SERVICE ��� A CASE STUDY OF GOJEK	Sistem Manufaktur	2	transportation	Manajemen Industri	2	consumer;service	True
356	ALGORTIMA HEURISTIK PENYEIMBANGAN JALUR PERAKITAN ROBOTIK DENGAN MEMPERTIMBANGKAN OPTIMISASI JALUR GERAKAN ROBOT	Sistem Manufaktur	4	perakitan;robot		0		False
357	PENGEMBANGAN MODEL INVENTORI OBAT-OBATAN DENGAN MEMPERTIMBANGKAN UMUR HIDUP, JOINT REPLENISHMENT DAN PRODUK SUBSTITUSI	Sistem Manufaktur	1	produk		0		False
360	PERANCANGAN TATA LETAK MIXED PRODUCTION LINE MULTI KRITERIA DENGAN MEMPERTIMBANGKAN KEBUTUHAN PROSES PRODUK BARU	Sistem Manufaktur	1	produk		0		False
363	PENGEMBANGAN MODEL ASESMEN LEAN PADA INDUSTRI DIRGANTARA STUDI KASUS: PT. DIRGANTARA INDONESIA	Sistem Manufaktur	2	industri;lean	Sistem Industri dan Rantai Nilai	2	dirgantara	True
368	PENGEMBANGAN MODEL PENJADWALAN DENGAN MEMPERTIMBANGKAN ROUTING DAN PROSES PLAN ALTERNATIF UNTUK MEMINIMASI BIAYA PROSES PRODUKSI DAN BIAYA KETERLAMBATAN	Sistem Manufaktur	3	penjadwalan;produksi	Manajemen Industri	1	biaya	False
370	PENGEMBANAGN MODEL LINTAS PERAKITAN DAN PENUGASAN OPERATOR DENGAN MEMPERTIMBANGAKAN PERBEDAAN TINGKAT KEAHLIAN OPERATOR DI PERAKITAN TAILBOOM HELIKOPTER MK-II	Sistem Manufaktur	2	perakitan		0		False
371	PENGEMBANGAN MODEL SKBNARIO UNTUK MEMINIMASI PENYELESAIAN PROTOTIPE PESAWAT DENGAN MENGGUNAKAN SIMULASI MONTE CARLO	Sistem Manufaktur	1	simulasi		0		False
372	MINIMASI BIAYA PROYEK DENGAN MENGGUNAKAN CRASHING PADA AREA FINAL ASSEMBLY UNTUK MENCAPAI TARGET CYCLE TIME	Sistem Manufaktur	2	assembly	Manajemen Industri	1	biaya	True
374	MODEL PENJADWALAN BATCH PADA PROSES NESTING 2 DIMENSI	Sistem Manufaktur	4	nesting;penjadwalan		0		False
376	PENGEMBANGAN MODEL LINTAS PERAKITAN DAN PENUGASAN OPERATOR DENGAN MEMPERTIMBANGKAN PERBEDAAN TINGKAT KEAHLIAN OPERATOR DI PERAKITAN TAILBOOM HELIKOPTER MK-II	Sistem Manufaktur	2	perakitan		0		False
377	REVERSE LOGISTICS DENGAN PENGEMBANGAN METODE EOQ-REVERSE DAN EPQ MULTI PRODUCT PADA LANTAI PRODUKSI PRODUK BAJA	Sistem Manufaktur	2	produksi;produk		0		False
386	PENGEMBANGAN MODEL HYBRID FLOWSHOP DUA TAHAP DENGAN MEMPERTIMBANGKAN BATCH PROCESSOR & MESIN PARALEL	Sistem Manufaktur	1	mesin		0		False
388	PERANCANGAN MODEL VENDOR MANAGED INVENTORY (VMI) SINGLE VENDOR SINGLE BUYER DENGAN MEMPERTIMBANGKAN PRODUK YANG TEDIRI DARI BEBERAPA BAGIAN KOMPONEN	Sistem Manufaktur	3	inventory;produk	Manajemen Industri	2	vendor	True
394	PENGEMBANGAN MODEL PENJADWALAN FLOWSHOP HIBRID TIGA TAHAP DENGAN MEMPERTIMBANGKAN TEKNISI TETAP DAN MESIN KHUSUS UNTUK MEMINIMASI MAKESPAN	Sistem Manufaktur	3	penjadwalan;mesin		0		False
401	ALGORITMA PENJADWALAN BATCH NO-WAIT PADA SISTEM HYBRID FLOW SHOP DUA TAHAP	Sistem Manufaktur	2	penjadwalan		0		False
402	PENGEMBANGAN MODEL LINTAS PERAKITAN KOLABORASI MANUSIA DAN ROBOT UNTUK MEMPRODUKSI PRODUK CAMPURAN	Sistem Manufaktur	5	perakitan;robot;produk		0		False
408	PENGEMBANGAN ALGORITMA PENENTUAN TITIK LOCATOR PADA KOMPONEN BENDA KERJA MULTIPART PADA MODULAR FIXTURE BERBASIS DOWEL-PIN	Sistem Manufaktur	2	fixture		0		False
417	MODEL PENJADWALAN BATCH PADA FLEXIBLE FLOW LINE DENGAN MISSING OPERATIONS UNTUK MEMINIMASI TOTAL ACTUAL FLOW TIME	Sistem Manufaktur	2	penjadwalan		0		False
425	PENGEMBANGAN MODEL PENYEIMBANGAN BEBAN KERJA DAN PENENTUAN JUMLAH OPERATOR UNTUK SETIAP ELEMEN KERJA PADA LINTASAN PERAKITAN	Sistem Manufaktur	2	perakitan	Ergonomi dan Rekayasa Kerja	2	beban kerja	True
428	PENGEMBANGAN MODEL KESIAPAN INDUSTRI 4.0 PADA SEKTOR INDUSTRI PRIORITAS INDONESIA	Sistem Manufaktur	1	industri	Sistem Industri dan Rantai Nilai	1	industri 4.0	True
431	PENGEMBANGAN MODEL DYNAMIC CELLULAR MANUFACTURING SYSTEM YANG MEMPERTIMBANGKAN BIAYA MACHINE BREAKDOWN DAN ALTERNATIVE ROUTING	Sistem Manufaktur	2	manufacturing	Manajemen Industri	1	biaya	True
434	PENGEMBANGAN MODEL PERSEDIAAN DUA ESELON FUZZY UNTUK PRODUK BARU DENGAN PENGENDALIAN PERIODIK DAN MEMPERTIMBANGKAN BATASAN TINGKAT PELAYANAN	Sistem Manufaktur	3	persediaan;produk	Manajemen Industri	1	pelayanan	False
435	PENYUSUNAN PETUNJUK PELAKSANAAN SISTEM 9E-1M UNTUK PENERAPAN LEAN HOSPITAL DI POLIKLINIK JANTUNG RSAU dr.M. SALAMUN BANDUNG	Sistem Manufaktur	1	lean		0		False
440	PENGEMBANGAN MODEL LINTAS PERAKITAN DAN PENUGASAN OPERATOR DENGAN MEMPERTIMBANGKAN KLASIFIKASI OPERATOR DI FINAL ASSEMBLY LINE	Sistem Manufaktur	4	assembly;perakitan		0		False
