No	Judul Tesis	Klasifikasi	Skor	Keywords	Klasifikasi_2	Skor_2	Keywords_2	Perlu_Review
13	PENGEMBANGAN KELOMPOK PENGETAHUAN PROSES MANUFAKTUR DENGAN MEMPERTIMBANGKAN ASPEK PERENCANAAN MAKRO DAN MIKRO PADA IKM PEMESINAN CNC	Sistem Manufaktur	4	manufaktur;CNC		0		False
14	PENGEMBANGAN MODEL OFFLINE-ONLINE BERBASISMIXED-INTEGER PROGRAMMING DAN LONG SHORT-TERM MEMORY UNTUK PENJADWALAN COLOR-COATED COIL	Sistem Manufaktur	2	penjadwalan		0		False
16	PENGEMBANGAN MODEL PENGUKURAN KINERJA BERBASIS RESILIENCE BALANCED SCORECARD DAN OBJECTIVE MATRIX PERUSAHAAN MANUFAKTUR	Sistem Manufaktur	2	manufaktur	Sistem Industri dan Rantai Nilai	2	resilience	True
17	MODEL PEMETAAN KUADRAN STRATEGI USAHA MIKRO KECIL DAN MENENGAH BERDASARKAN KAPABILITAS DAN KOMPLEKSITAS PROYEK PENGEMBANGAN PRODUK MENGGUNAKAN FACTOR ANALYSIS OF MIXED DATA	Sistem Manufaktur	1	produk	Sistem Industri dan Rantai Nilai	1	strategi	True
22	OPTIMISASI TERINTEGRASI KEBIJAKAN INVENTORI, PEMILIHAN MODA BUNKERING, PENJADWALAN DERMAGA, DAN BUNKER VESSEL ROUTING DI BAWAH PERMINTAAN INTERMITTENT	Sistem Manufaktur	2	penjadwalan	Sistem Industri dan Rantai Nilai	1	kebijakan	True
23	PEMODELAN SISTEM DINAMIS UNTUK EVALUASI KEBIJAKAN PENINGKATAN PRODUKSI BIOETANOL FUEL-GRADE BERBASIS TEBU DI INDONESIA	Sistem Manufaktur	1	produksi	Sistem Industri dan Rantai Nilai	1	kebijakan	True
44	MODEL TERPADU PERENCANAAN PRODUKSI DAN PETI KEMAS SERTA OPERASI PELABUHAN DAN GUDANG UNTUK PENGENDALIAN INVENTORI DI PERUSAHAAN PULP AND PAPER DENGAN MENGGUNAKAN DINAMIKA SISTEM	Sistem Manufaktur	3	gudang;produksi	Sistem Industri dan Rantai Nilai	2	pelabuhan	True
49	MODEL MILP UNTUK DESAIN RANTAI PASOK GASOLINE, ETANOL, DAN BIOGASOLINE BERBASIS BLENDING DENGAN TUJUAN MEMINIMALKAN BIAYA TOTAL	Sistem Manufaktur	2	rantai pasok	Manajemen Industri	1	biaya	True
53	MODEL OPTIMISASI TERINTEGRASI UNTUK NESTING 2-DIMENSI DAN PENJADWALAN DUA TAHAP	Sistem Manufaktur	4	nesting;penjadwalan		0		False
71	PENGEMBANGAN MODEL INTEGRASI PERSEDIAAN DAN PENJEMPUTAN PADA SISTEM MULTI-SUPPLIER SINGLE-MANUFACTURER DENGAN FREKUENSI TIDAK SERAGAM	Sistem Manufaktur	2	persediaan	Manajemen Industri	2	supplier	True
72	PENGEMBANGAN MODEL INTEGRASI PERSEDIAAN DAN PENJEMPUTAN PADA SISTEM MULTI-SUPPLIER SINGLE-MANUFACTURER DENGAN FREKUENSI TIDAK SERAGAM	Sistem Manufaktur	2	persediaan	Manajemen Industri	2	supplier	True
77	PENGEMBANGAN MODEL GARANSI PRODUK MULTI KOMPONEN MENGGUNAKAN KEBIJAKAN HUKUM LEMON DENGAN MEMPERTIMBANGKAN FAILURE RATE INTERACTION	Sistem Manufaktur	1	produk	Sistem Industri dan Rantai Nilai	1	kebijakan	True
85	ALGORITMA HEURISTIK UNTUK MODEL INVENTORI BERAGAM JENIS PRODUK SEGAR DENGAN EFEK DETERIORASI SILANG	Sistem Manufaktur	1	produk		0		False
90	PENGEMBANGAN MODEL MILP DAN ALGORITMA HEURISTIK UNTUK PERENCANAAN PRODUKSI DAN INVENTORI MULTI-PRODUK DENGAN BATASAN KETERKAITAN ANTAR PRODUK, UMUR SIMPAN, DAN PASOKAN TAK TERKENDALI	Sistem Manufaktur	2	produksi;produk		0		False
93	PENGEMBANGAN SELF-ASSESSMENT TOOL PENERAPAN INDUSTRI HIJAU UNTUK INDUSTRI TEKSTIL PENCETAKAN DAN PENYEMPURNAAN KAIN	Sistem Manufaktur	1	industri		0		False
98	PENGEMBANGAN MODEL KESIAPAN OPERASI (POWERPLANT OPERATION READINESS) STUDI KASUS PEMBANGKIT LISTRIK MESIN GAS (PLTMG) DI PT PLN (PERSERO) UNTUK BERALIH DARI BAHAN BAKAR BIOSOLAR B35 KE BAHAN BAKAR GAS	Sistem Manufaktur	1	mesin		0		False
103	RESILIENCE ENGINEERING PADA SISTEM MANAJEMEN KESELAMATAN PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA	Sistem Manufaktur	2	distribusi	Sistem Industri dan Rantai Nilai	2	resilience	True
104	PERANCANGAN KERANGKA PENGUKURAN TECHNOWARE DAN HUMANWARE INDUSTRI TEKSTIL PENYEMPURNAAN DAN PENCETAKAN KAIN UNTUK MEMENUHI PERSYARATAN STANDAR INDUSTRI HIJAU	Sistem Manufaktur	1	industri	Sistem Industri dan Rantai Nilai	1	standar	True
113	PENGEMBANGAN MODEL PENJADWALAN DAN ALGORITMA PERMUTATION- BASED GENETIC ALGORITHM PADA MTSSDRC DENGAN UNRELATED MACHINE PARALLEL UNTUK MINIMASI MAKESPAN	Sistem Manufaktur	2	penjadwalan		0		False
121	PENENTUAN LETAK PARTING LINE PROSES PENGECORAN SAND CASTING SECARA OTOMATIS PADA SISTEM CAD	Sistem Manufaktur	2	casting		0		False
125	PENGEMBANGAN SISTEM REKOMENDASI USER-BASED COLLABORATIVE FILTERING UNTUK MESIN PENJUAL OTOMATIS CERDAS	Sistem Manufaktur	1	mesin		0		False
130	OPTIMISASI MULTI-OBJEKTIF KONSUMSI ENERGI DAN KEKASARAN PERMUKAAN PADA PERMESINAN CNC 5- AXIS MENGGUNAKAN METODE NSGA-II	Sistem Manufaktur	2	CNC		0		False
131	PENGEMBANGAN MODEL INVENTORI OBAT-OBATAN DENGAN MEMPERTIMBANGKAN UMUR SIMPAN, JOINT REPLENISHMENT, PRODUK SUBSTITUSI, KUANTITAS MINIMUM PEMESANAN, KUANTITAS DISKON, DAN KAPASITAS TRANSPORTASI	Sistem Manufaktur	1	produk		0		False
134	PENGEMBANGAN MODEL HAMBATAN UNTUK ADOPSI TEKNOLOGI INDUSTRI 4.0 DI INDUSTRI MAKANAN DAN MINUMAN SKALA KECIL DAN MENENGAH DI PULAU JAWA, INDONESIA	Sistem Manufaktur	1	industri	Sistem Industri dan Rantai Nilai	1	industri 4.0	True
137	PENGGUNAAN KARBON DIOKSIDA SUPERKRITIS DAN GAS COUNTER PRESSURE UNTUK MENCAPAI KUALITAS FOAMING YANG TINGGI DAN PENGURANGAN BERAT PADA PRODUK POLIKARBONAT MICROCELLULAR INJECTION MOLDING	Sistem Manufaktur	5	foaming;injection molding;produk		0		False
142	ANALISIS HAMBATAN DAN PENGEMBANGAN STRATEGI UNTUK IMPLEMENTASI MANAJEMEN RANTAI PASOK CERDAS DI INDUSTRI ELEKTRONIK INDONESIA	Sistem Manufaktur	3	rantai pasok;industri	Manajemen Industri	2	manajemen;strategi	True
143	PENGEMBANGAN MODEL MATEMATIS DAN METAHEURISTIK PADA MULTI- TASK SIMULTANEOUS SUPERVISION DUAL RESOURCE-CONSTRAINED SCHEDULING PROBLEM DENGAN PERTIMBANGAN TINGKAT KETERAMPILAN OPERATOR	Sistem Manufaktur	2	scheduling		0		False
144	PREDIKSI BERAT PRODUK DAN KONSUMSI ENERGI INJEKSI BERDASARKAN TRANSFER LEARNING	Sistem Manufaktur	1	produk	Manajemen Industri	1	prediksi	True
152	PENGEMBANGAN MODEL DAN ALGORITMA PENJADWALAN MESIN PARALEL UNRELATED MTSSDRC DENGAN MEMPERTIMBANGKAN TARDINESS SERTA WORKLOAD BALANCE	Sistem Manufaktur	3	penjadwalan;mesin	Ergonomi dan Rekayasa Kerja	2	workload	True
153	MODEL KERJA SAMA BERBASIS VENDOR MANAGED INVENTORY (VMI) UNTUK SATU NGO DAN SATU VENDOR DALAM MEMENUHI KEBUTUHAN PRODUK PERISHABLE MASA TANGGAP DARURAT BENCANA GUNUNG API	Sistem Manufaktur	3	inventory;produk	Manajemen Industri	2	vendor	True
