No	Judul Tesis	Klasifikasi	Skor	Keywords	Klasifikasi_2	Skor_2	Keywords_2	Perlu_Review
10	PENGEMBANGAN STRATEGI DEMARKETING PAKAIAN BEKAS IMPOR TERHADAP MINAT BELI KONSUMEN BERDASARKAN FAKTOR INTENSI MENGURANGI PEMBELIAN	Manajemen Industri	4	pembelian;strategi;konsumen	Sistem Industri dan Rantai Nilai	3	impor;strategi	True
12	PENGEMBANGAN MODEL KESIAPAN DIGITAL UKM	Manajemen Industri	2	UKM	Sistem Informasi dan Keputusan	1	digital	True
13	PERAMALAN HARGA KARET (TSR20) MENGGUNAKAN LSTM DENGAN KOREKSI EROR SVR DAN OPTIMASI HYPERPARAMETER	Sistem Industri dan Rantai Nilai	2	karet	Manajemen Industri	1	peramalan	True
14	PERANCANGAN MODEL PENENTUAN LOKASI, INVENTORI, DAN RUTE PADA SISTEM DISTRIBUSI GAS ELPIJI UNTUK AGEN DENGAN MEMPERTIMBANGKAN ASPEK EKONOMI, LINGKUNGAN, DAN SOSIAL	Sistem Industri dan Rantai Nilai	3	lingkungan;ekonomi	Sistem Manufaktur	2	distribusi	True
19	PENGEMBANGAN MODEL ANALISA PERAN AI-AR PADA PROSES PENGAMBILAN KEPUTUSAN PELANGGAN M-COMMERCE DALAM MENDORONG INTENSI PENGGUNAAN BERKELANJUTAN	Manajemen Industri	3	pengambilan keputusan;pelanggan	Sistem Industri dan Rantai Nilai	2	berkelanjutan	True
20	PENGEMBANGAN MODEL INTEGRASI PERSEDIAAN DAN PENJEMPUTAN PADA SISTEM MULTI-SUPPLIER SINGLE-MANUFACTURER DENGAN FREKUENSI TIDAK SERAGAM	Sistem Manufaktur	2	persediaan	Manajemen Industri	2	supplier	True
21	PENGEMBANGAN MODEL INTEGRASI PERSEDIAAN DAN PENJEMPUTAN PADA SISTEM MULTI-SUPPLIER SINGLE-MANUFACTURER DENGAN FREKUENSI TIDAK SERAGAM	Sistem Manufaktur	2	persediaan	Manajemen Industri	2	supplier	True
23	PENGEMBANGAN MODEL PERTUMBUHAN EKONOMI NASIONAL BERBASIS INOVASI MENGGUNAKAN PARTIAL LEAST SQUARES STRUCTURAL EQUATION MODELING	Sistem Industri dan Rantai Nilai	2	pertumbuhan;ekonomi	Manajemen Industri	2	inovasi	True
26	PENGEMBANGAN MODEL GARANSI PRODUK MULTI KOMPONEN MENGGUNAKAN KEBIJAKAN HUKUM LEMON DENGAN MEMPERTIMBANGKAN FAILURE RATE INTERACTION	Sistem Manufaktur	1	produk	Sistem Industri dan Rantai Nilai	1	kebijakan	True
28	PENGEMBANGAN MODEL PERMAINAN INDUSTRI TEKSTIL DAN PRODUK TEKSTIL UNTUK MENENTUKAN STRATEGI PENETAPAN HARGA DAN TARIF IMPOR OPTIMAL	Sistem Industri dan Rantai Nilai	3	impor;strategi	Sistem Manufaktur	2	industri;produk	True
29	STRATEGI STAKEHOLDER MANAGEMENT BERDASARKAN PROSES BISNIS DARI TIAP TAHAP PERTUMBUHAN ORGANISASI (STUDI KASUS DI RESORT KAMPUNG SUMBER ALAM GARUT)	Manajemen Industri	5	proses bisnis;management;organisasi;strategi	Sistem Industri dan Rantai Nilai	4	stakeholder;strategi;pertumbuhan	True
32	PENGEMBANGAN MODEL PENGURANGAN PEMBOROSAN MAKANAN RUMAH TANGGA MELALUI INTERVENSI POSTER: PERAN KEKHAWATIRAN LINGKUNGAN, PERILAKU MANAJEMEN MAKANAN, DAN APLIKASI PENGIRIMAN MAKANAN	Sistem Industri dan Rantai Nilai	2	lingkungan	Manajemen Industri	1	manajemen	True
33	PENGEMBANGAN MODEL PENGURANGAN PEMBOROSAN MAKANAN RUMAH TANGGA MELALUI INTERVENSI POSTER: PERAN KEKHAWATIRAN LINGKUNGAN, PERILAKU MANAJEMEN MAKANAN, DAN APLIKASI PENGIRIMAN MAKANAN	Sistem Industri dan Rantai Nilai	2	lingkungan	Manajemen Industri	1	manajemen	True
38	PENGARUH ELEMEN GAMIFIKASI TERHADAP USER EXPERIENCE DALAM MOBILE COMMERCE: PERAN MODERASI UTILITARIAN FEATURE DAN HEDONIC FEATURE SERTA PERAN MEDIASI PERCEIVED VALUE	Sistem Informasi dan Keputusan	2	mobile;user experience	Ergonomi dan Rekayasa Kerja	1	user experience	True
44	PEMILIHAN PRODUK INSTRUMEN ENERGI TERBARUKAN BERBASIS PASAR DI INDONESIA BERDASARKAN PREFERENSI PELANGGAN, REGULATOR DAN PEMASOK (KASUS: SEKTOR INDUSTRI TEKSTIL DAN ALAS KAKI)	Manajemen Industri	3	pemasok;pelanggan	Sistem Manufaktur	2	industri;produk	True
45	POTENSI PEMANFAATAN ARTIFICIAL INTELLIGENCE (AI) DALAM IMPLEMENTASI SISTEM MANAJEMEN TALENTA (ANALISIS STUDI KASUS KUALITATIF DI BUMN, SWASTA, DAN DEPARTEMEN PEMERINTAHAN)	Manajemen Industri	3	talenta;manajemen	Sistem Informasi dan Keputusan	3	artificial intelligence;AI	True
46	PENGEMBANGAN KERANGKA MULTI KRITERIA PENGAMBILAN KEPUTUSAN PEMILIHAN TEKNOLOGI PENGENDALIAN EMISI UDARA PADA PEMBANGKIT LISTRIK TENAGA UAP (PLTU)	Sistem Industri dan Rantai Nilai	2	emisi	Manajemen Industri	2	pengambilan keputusan	True
48	STUDI PENERIMAAN PENGGUNAAN PEMBANGKIT LISTRIK TENAGA SURYA ATAP PADA MASYARAKAT UMUM DAN PEGAWAI PT PLN (PERSERO)	Manajemen Industri	2	pegawai	Sistem Informasi dan Keputusan	2	penerimaan	True
49	PENGEMBANGAN MODEL INDIKATOR KEBERHASILAN PROSES BISNIS UNTUK PENILAIAN SUSTAINABILITY PADA PT PLN PERSERO UNIT TRANSMISI	Sistem Industri dan Rantai Nilai	2	sustainability	Manajemen Industri	2	proses bisnis	True
52	RESILIENCE ENGINEERING PADA SISTEM MANAJEMEN KESELAMATAN PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA	Sistem Manufaktur	2	distribusi	Sistem Industri dan Rantai Nilai	2	resilience	True
53	PERANCANGAN KERANGKA PENGUKURAN TECHNOWARE DAN HUMANWARE INDUSTRI TEKSTIL PENYEMPURNAAN DAN PENCETAKAN KAIN UNTUK MEMENUHI PERSYARATAN STANDAR INDUSTRI HIJAU	Sistem Manufaktur	1	industri	Sistem Industri dan Rantai Nilai	1	standar	True
57	PENGEMBANGAN MODEL MATURITAS DIGITAL SUPPLY CHAIN MANAGEMENT DI PT PLN NUSANTARA POWER	Manajemen Industri	3	supply chain management;management	Sistem Manufaktur	2	supply chain	True
71	PERANCANGAN MODEL STRATEGI CUSTOMER RELATIONSHIP MANAGEMENT (CRM) BERDASARKAN KETERLIBATAN PELANGGAN DAN KAPABILITAS CRM PERUSAHAAN DENGAN STUDI KASUS PT. EIGERINDO MULTIPRODUK INDUSTRI	Manajemen Industri	4	management;strategi;customer;pelanggan	Sistem Informasi dan Keputusan	4	CRM;customer relationship management	True
72	PENGEMBANGAN MODEL POST-ADOPTION BEHAVIORS PENGGUNAAN APLIKASI TELEMEDICINE DENGAN MEMPERTIMBANGKAN KUALITAS LAYANAN DAN TINGKAT KEPERCAYAAN PENGGUNA	Sistem Informasi dan Keputusan	3	telemedicine;aplikasi	Manajemen Industri	2	adoption;layanan	True
75	MODEL PENGAMBILAN KEPUTUSAN MULTI-KRITERIA HIBRIDA UNTUK MENGEVALUASI PRAKTIK EFISIENSI ENERGI DI INDUSTRI TEKSTIL INDONESIA	Manajemen Industri	2	pengambilan keputusan	Sistem Manufaktur	1	industri	True
83	PENGEMBANGAN MODEL HAMBATAN UNTUK ADOPSI TEKNOLOGI INDUSTRI 4.0 DI INDUSTRI MAKANAN DAN MINUMAN SKALA KECIL DAN MENENGAH DI PULAU JAWA, INDONESIA	Sistem Manufaktur	1	industri	Sistem Industri dan Rantai Nilai	1	industri 4.0	True
87	PENGEMBANGAN MODEL INTENSI PENGGUNAAN BERKELANJUTAN APLIKASI PEMESANAN HOTEL: PENDEKATAN SOCIO-TECHNICAL SYSTEM DARI PERSPEKTIF PENGGUNA	Sistem Industri dan Rantai Nilai	2	berkelanjutan	Sistem Informasi dan Keputusan	1	aplikasi	True
91	ANALISIS HAMBATAN DAN PENGEMBANGAN STRATEGI UNTUK IMPLEMENTASI MANAJEMEN RANTAI PASOK CERDAS DI INDUSTRI ELEKTRONIK INDONESIA	Sistem Manufaktur	3	rantai pasok;industri	Manajemen Industri	2	manajemen;strategi	True
93	PREDIKSI BERAT PRODUK DAN KONSUMSI ENERGI INJEKSI BERDASARKAN TRANSFER LEARNING	Sistem Manufaktur	1	produk	Manajemen Industri	1	prediksi	True
97	PENGEMBANGAN SCORECARD PENGUKURAN KINERJA FUNGSI SISTEM INFORMASI	Sistem Informasi dan Keputusan	2	sistem informasi	Manajemen Industri	1	kinerja	True
101	PENGEMBANGAN MODEL DAN ALGORITMA PENJADWALAN MESIN PARALEL UNRELATED MTSSDRC DENGAN MEMPERTIMBANGKAN TARDINESS SERTA WORKLOAD BALANCE	Sistem Manufaktur	3	penjadwalan;mesin	Ergonomi dan Rekayasa Kerja	2	workload	True
102	MODEL KERJA SAMA BERBASIS VENDOR MANAGED INVENTORY (VMI) UNTUK SATU NGO DAN SATU VENDOR DALAM MEMENUHI KEBUTUHAN PRODUK PERISHABLE MASA TANGGAP DARURAT BENCANA GUNUNG API	Sistem Manufaktur	3	inventory;produk	Manajemen Industri	2	vendor	True
105	FAKTOR UTAMA YANG MEMPENGARUHI PENGGUNAAN KNOWLEDGE MANAGEMENT SYSTEM (KMS) DILIHAT DARI ASPEK SOSIO-TEKNIS MENGGUNAKAN MODEL UNIFIED THEORY OF ACCEPTANCE USE OF TECHNOLOGY 2 (UTAUT2)	Manajemen Industri	3	knowledge management;management	Sistem Informasi dan Keputusan	2	acceptance	True
106	PERANCANGAN INTEGRASI STANDAR LEMBAGA SERTIFIKASI MANAJEMEN MUTU, LEMBAGA SERTIFIKASI PRODUK, DAN LEMBAGA SERTIFIKASI INDUSTRI HIJAU DI BALAI BESAR KEMENTERIAN PERINDUSTRIAN	Sistem Industri dan Rantai Nilai	3	sertifikasi;standar	Manajemen Industri	3	mutu;manajemen	True
111	PENGEMBANGAN MODEL INTENSI PENGGUNAAN TELEMEDICINE SECARA BERKELANJUTAN: STUDI KOMPREHENSIF DARI PERSPEKTIF DOKTER	Sistem Industri dan Rantai Nilai	2	berkelanjutan	Sistem Informasi dan Keputusan	2	telemedicine	True
119	PENGEMBANGAN MODEL PENGARUH KEMAMPUAN TEKNOLOGI INFORMASI TERHADAP KINERJA PENGEMBANGAN PRODUK DAN LAYANAN DIGITAL	Sistem Informasi dan Keputusan	3	teknologi informasi;digital	Manajemen Industri	2	kinerja;layanan	True
