No	Judul Tesis	Klasifikasi	Skor	Keywords	Klasifikasi_2	Skor_2	Keywords_2	Perlu_Review
13	PERAMALAN HARGA KARET (TSR20) MENGGUNAKAN LSTM DENGAN KOREKSI EROR SVR DAN OPTIMASI HYPERPARAMETER	Sistem Industri dan Rantai Nilai	2	karet	Manajemen Industri	1	peramalan	True
14	PERANCANGAN MODEL PENENTUAN LOKASI, INVENTORI, DAN RUTE PADA SISTEM DISTRIBUSI GAS ELPIJI UNTUK AGEN DENGAN MEMPERTIMBANGKAN ASPEK EKONOMI, LINGKUNGAN, DAN SOSIAL	Sistem Industri dan Rantai Nilai	3	lingkungan;ekonomi	Sistem Manufaktur	2	distribusi	True
23	PENGEMBANGAN MODEL PERTUMBUHAN EKONOMI NASIONAL BERBASIS INOVASI MENGGUNAKAN PARTIAL LEAST SQUARES STRUCTURAL EQUATION MODELING	Sistem Industri dan Rantai Nilai	2	pertumbuhan;ekonomi	Manajemen Industri	2	inovasi	True
28	PENGEMBANGAN MODEL PERMAINAN INDUSTRI TEKSTIL DAN PRODUK TEKSTIL UNTUK MENENTUKAN STRATEGI PENETAPAN HARGA DAN TARIF IMPOR OPTIMAL	Sistem Industri dan Rantai Nilai	3	impor;strategi	Sistem Manufaktur	2	industri;produk	True
32	PENGEMBANGAN MODEL PENGURANGAN PEMBOROSAN MAKANAN RUMAH TANGGA MELALUI INTERVENSI POSTER: PERAN KEKHAWATIRAN LINGKUNGAN, PERILAKU MANAJEMEN MAKANAN, DAN APLIKASI PENGIRIMAN MAKANAN	Sistem Industri dan Rantai Nilai	2	lingkungan	Manajemen Industri	1	manajemen	True
33	PENGEMBANGAN MODEL PENGURANGAN PEMBOROSAN MAKANAN RUMAH TANGGA MELALUI INTERVENSI POSTER: PERAN KEKHAWATIRAN LINGKUNGAN, PERILAKU MANAJEMEN MAKANAN, DAN APLIKASI PENGIRIMAN MAKANAN	Sistem Industri dan Rantai Nilai	2	lingkungan	Manajemen Industri	1	manajemen	True
36	PENGEMBANGAN PROSES PEMILIHAN UNTUK PERENCANAAN PEMBANGUNAN PEMBANGKIT EBT DI DAERAH PEDALAMAN SULAWESI TENGAH	Sistem Industri dan Rantai Nilai	2	EBT		0		False
43	PENGARUH KEPUASAN ATAS KEBIJAKAN INSENTIF DAN TINGKAT KEPERCAYAAN TEKNOLOGI TERHADAP ITENSI PENGGUNAAN SEPEDA MOTOR LISTRIK	Sistem Industri dan Rantai Nilai	1	kebijakan		0		False
46	PENGEMBANGAN KERANGKA MULTI KRITERIA PENGAMBILAN KEPUTUSAN PEMILIHAN TEKNOLOGI PENGENDALIAN EMISI UDARA PADA PEMBANGKIT LISTRIK TENAGA UAP (PLTU)	Sistem Industri dan Rantai Nilai	2	emisi	Manajemen Industri	2	pengambilan keputusan	True
49	PENGEMBANGAN MODEL INDIKATOR KEBERHASILAN PROSES BISNIS UNTUK PENILAIAN SUSTAINABILITY PADA PT PLN PERSERO UNIT TRANSMISI	Sistem Industri dan Rantai Nilai	2	sustainability	Manajemen Industri	2	proses bisnis	True
61	PENGEMBANGAN MODEL PENENTUAN KUANTITAS IMPOR BERAS PERUM BULOG UNTUK MENGENDALIKAN TINGKAT KENAIKAN HARGA PASAR BERAS ECERAN	Sistem Industri dan Rantai Nilai	4	impor;harga pasar		0		False
67	PERANCANGAN JARINGAN RANTAI SUPLAI MINYAK GORENG KEMASAN SEDERHANA DENGAN METODE OPTIMISASI UNTUK MEMENUHI KEBUTUHAN DOMESTIK, PERMINTAAN EKSPOR, DAN MEMAKSIMUMKAN LABA	Sistem Industri dan Rantai Nilai	2	ekspor		0		False
78	PERANCANGAN MODEL STRATEGI MITIGASI RISIKO OPERASIONAL BERDASARKAN TAHAP PERTUMBUHAN ORGANISASI DAN PEMANGKU KEPENTINGAN PADA ORGANISASI UMKM: STUDI KASUS HISTORIS DI INDUSTRI MESIN DAN PERKAKAS MESIN UNTUK PENGERJAAN LOGAM	Sistem Industri dan Rantai Nilai	6	mitigasi risiko;pemangku kepentingan;strategi;pertumbuhan	Manajemen Industri	4	UMKM;organisasi;strategi	False
87	PENGEMBANGAN MODEL INTENSI PENGGUNAAN BERKELANJUTAN APLIKASI PEMESANAN HOTEL: PENDEKATAN SOCIO-TECHNICAL SYSTEM DARI PERSPEKTIF PENGGUNA	Sistem Industri dan Rantai Nilai	2	berkelanjutan	Sistem Informasi dan Keputusan	1	aplikasi	True
90	ANALISIS HAMBATAN DAN PENGEMBANGAN STRATEGI UNTUK MENGIMPLEMENTASIKAN TRANSFORMASI DIGITAL MENUJU RANTAI PASOKAN PINTAR PADA INDUSTRI CRUDE PALM OIL INDONESIA DI ERA INDUSTRI 4.0	Sistem Industri dan Rantai Nilai	5	crude palm oil;strategi;industri 4.0;transformasi digital	Manajemen Industri	3	transformasi;strategi;transformasi digital	False
98	RANCANGAN MODEL BISNIS TERMINAL MOBIL BARANG TANAH MERDEKA DENGAN METODA BUSINESS MODEL CANVAS	Sistem Industri dan Rantai Nilai	6	business model;model bisnis;canvas		0		False
106	PERANCANGAN INTEGRASI STANDAR LEMBAGA SERTIFIKASI MANAJEMEN MUTU, LEMBAGA SERTIFIKASI PRODUK, DAN LEMBAGA SERTIFIKASI INDUSTRI HIJAU DI BALAI BESAR KEMENTERIAN PERINDUSTRIAN	Sistem Industri dan Rantai Nilai	3	sertifikasi;standar	Manajemen Industri	3	mutu;manajemen	True
107	PENGURANGAN KECURANGAN GARANSI MELALUI KEBIJAKAN INSPEKSI DAN GARANSI KOMBINASI PADA BATERAI MOBIL	Sistem Industri dan Rantai Nilai	1	kebijakan		0		False
108	PROSES PENYAYATAN GETAH KARET (LATEX) DENGAN MEMPERTIMBANGKAN BIAYA PROSES DOUBLE CUT ALTERNATIVE (DCA) PADA KOLABORASI MANUSIA DAN ROBOT	Sistem Industri dan Rantai Nilai	4	karet;getah karet	Sistem Manufaktur	2	robot	False
111	PENGEMBANGAN MODEL INTENSI PENGGUNAAN TELEMEDICINE SECARA BERKELANJUTAN: STUDI KOMPREHENSIF DARI PERSPEKTIF DOKTER	Sistem Industri dan Rantai Nilai	2	berkelanjutan	Sistem Informasi dan Keputusan	2	telemedicine	True
123	PENGEMBANGAN MODEL KETAHANAN HIDUP UMKM FESYEN DI BANDUNG SETELAH PANDEMI COVID-19	Sistem Industri dan Rantai Nilai	2	ketahanan	Manajemen Industri	2	UMKM	True
129	PENGEMBANGAN MODEL FAKTOR RISIKO GANGGUAN OTOT RANGKA PADA PEMANEN PERKEBUNAN KELAPA SAWIT	Sistem Industri dan Rantai Nilai	4	kelapa sawit;sawit		0		False
153	PENINGKATAN MINAT BELI MELALUI IKLAN PRODUK PERAWATAN PRIBADI RAMAH LINGKUNGAN DENGAN METODE NEUROMARKETING	Sistem Industri dan Rantai Nilai	2	lingkungan	Sistem Manufaktur	1	produk	True
156	RANCANGAN KEBIJAKAN MOBIL LISTRIK DI INDONESIA BERDASARKAN LIFE CYCLE ASSESSMENT DAN METODOLOGI DINAMIKA SISTEM	Sistem Industri dan Rantai Nilai	3	life cycle assessment;kebijakan		0		False
183	STRATEGI MITIGASI RISIKO PADA UMKM BIDANG FESYEN BERDASARKAN TAHAP PERTUMBUHAN ORGANISASI DAN STRATEGI BISNIS	Sistem Industri dan Rantai Nilai	4	mitigasi risiko;strategi;pertumbuhan	Manajemen Industri	4	UMKM;organisasi;strategi	True
186	PENGEMBANGAN METODE PERAMALAN HARGA KOMODITAS PERTANIAN JANGKA PENDEK MENGGUNAKAN MODEL HYBRID TRADISIONAL-INTELIJEN BERBASIS REGRESI-NEURAL NETWORK	Sistem Industri dan Rantai Nilai	6	komoditas;harga komoditas;komoditas pertanian	Sistem Informasi dan Keputusan	2	neural network	False
197	PERANCANGAN MODEL PENILAIAN KEBERLANJUTAN PENERAPAN PLT-EBT OFF-GRID SKALA MIKRO DI KOMUNITAS PERDESAAN	Sistem Industri dan Rantai Nilai	2	EBT		0		False
201	HUBUNGAN KAUSALITAS GRANGER ANTARA UTANG LUAR NEGERI ��DENGAN PERTUMBUHAN EKONOMI DAN DEFISIT YANG TERJADI DI INDONESIA PERIODE 1989-2000	Sistem Industri dan Rantai Nilai	2	pertumbuhan;ekonomi		0		False
204	PERANCANGAN MODEL CONTINUOUS IMPROVEMENT AWARD BERDASARKAN TAIWAN CONTINUOUS IMPROVEMENT AWARD DAN SNI AWARD	Sistem Industri dan Rantai Nilai	2	SNI	Manajemen Industri	2	continuous improvement	True
219	PENGARUH LINGKUNGAN APRESIATIF TERHADAP PERILAKU KERJA INOVATIF (STUDI KASUS DI BATAN, PT. BIOFARMA, PT. ISM, PT. ER, DAN PT. U.CAN)	Sistem Industri dan Rantai Nilai	2	lingkungan		0		False
220	PENGEMBANGAN KERANGKA KERJA INTEGRASI PROSES BISNIS, MANAJEMEN PEMANGKU KEPENTINGAN, DAN MANAJEMEN RISIKO ZOUKA BAKERY BANDUNG	Sistem Industri dan Rantai Nilai	4	manajemen risiko;pemangku kepentingan	Manajemen Industri	3	proses bisnis;manajemen	True
224	MODEL PENENTUAN PEMASOK PRODUK FESYEN PADA LINGKUNGAN 4TH PARTY LOGISTICS DENGAN MEMPERTIMBANGKAN KUALITAS PRODUK DAN PERFORMANSI PEMASOK	Sistem Industri dan Rantai Nilai	2	lingkungan	Manajemen Industri	2	pemasok	True
229	PERAN PERCEIVED QUALITY, PERCEIVED VALUE, DAN PERCEIVED RISK DALAM MENINGKATKAN KEPUASAN KONSUMEN PADA KEDAI KOPI LOKAL	Sistem Industri dan Rantai Nilai	2	kopi	Manajemen Industri	1	konsumen	True
240	PENGEMBANGAN MODEL PERFORMANCE MANAGEMENT DALAM PEMBANGUNAN BERKELANJUTAN INDUSTRI KECIL MENENGAH	Sistem Industri dan Rantai Nilai	2	berkelanjutan	Manajemen Industri	2	management;performance	True
249	PENGEMBANGAN MODEL POLA TANAM SAYURAN HIDROPONIK MULTI KOMODITAS MEMPERHITUNGKAN BOBOT TANAMAN DAN UMUR PANEN UNTUK MEMAKSIMALKAN KEUNTUNGAN	Sistem Industri dan Rantai Nilai	2	komoditas		0		False
