No	Judul Tesis	Klasifikasi	Skor	Keywords	Klasifikasi_2	Skor_2	Keywords_2	Perlu_Review
279	KEBIJAKAN PEMELIHARAAN BERDASARKAN KONDISI SISTEM DENGAN DETERIORASI SISTEM DIPENGARUHI OLEH FAKTOR UMUR, PENGGUNAAN, DAN KONDISI OPERASI	Sistem Industri dan Rantai Nilai	1	kebijakan		0		False
283	PENGEMBANGAN MODEL KEBIJAKAN PEMELIHARAAN PREVENTIF PERIODIK DENGAN PERBAIKAN MINIMAL DALAM WAKTU PERENCANAAN TERBATAS BERDASARKAN TEORI PROSPEK KUMULATIF	Sistem Industri dan Rantai Nilai	1	kebijakan		0		False
284	DESAIN SISTEM MANAJEMEN TERPADU DARI LEMBAGA SERTIFIKASI ��� STUDI KASUS: BALAI SERTIFIKASI INDUSTRI (BSI), KEMENTERIAN PERINDUSTRIAN INDONESIA	Sistem Industri dan Rantai Nilai	2	sertifikasi	Sistem Manufaktur	1	industri	True
285	INTEGRASI KANO MODEL, FUZZY ANALYTICAL HIERARCHY PROCESS, DAN DECISION MATRIX UNTUK PEMILIHAN PEMASOK YANG BERKELANJUTAN DI INDUSTRI MINYAK SAWIT INDONESIA (STUDI KASUS)	Sistem Industri dan Rantai Nilai	4	berkelanjutan;sawit	Manajemen Industri	2	pemasok	False
314	PENGEMBANGAN MODEL KINERJA TRANSFER TEKNOLOGI (STUDI KASUS: TEKNOLOGI CARBON FIBER REINFORCED PLASTIC (CFRP) DI PT. DIRGANTARA INDONESIA (PERSERO))	Sistem Industri dan Rantai Nilai	2	carbon	Manajemen Industri	1	kinerja	True
349	PENGEMBANGAN MODEL HEDGING UNTUK MANAJEMEN RISIKO HARGA KOMODITAS PADA PERUSAHAAN PENGHASIL BATUBARA DI INDONESIA	Sistem Industri dan Rantai Nilai	8	manajemen risiko;komoditas;harga komoditas;batubara	Manajemen Industri	1	manajemen	False
352	MODEL PENENTUAN JUMLAH PERMINTAAN DAN PEMILIHAN VENDOR PRODUK FESYEN PADA LINGKUNGAN 4TH PARTY LOGISTICS	Sistem Industri dan Rantai Nilai	2	lingkungan	Manajemen Industri	2	vendor	True
361	ANALISIS PENGARUH DIMENSI USABILITY TERHADAP NIAT PENGGUNAAN BERKELANJUTAN MOBILE TRAVEL APPLICATION MENGGUNAKAN KERANGKA KERJA S-O-R (STIMULUS-ORGANISM-RESPONSE)	Sistem Industri dan Rantai Nilai	2	berkelanjutan	Sistem Informasi dan Keputusan	2	mobile;usability	True
364	PENGEMBANGAN MODEL BALANCED SCORECARD DINAMIS UNTUK PENGUKURAN KINERJA INSTITUSI LITBANG PEMERINTAH	Sistem Industri dan Rantai Nilai	1	pemerintah	Manajemen Industri	1	kinerja	True
367	STUDI MODEL DAN SKALA USAHA AGRO-INDUSTRI AKUAPONIK BERWAWASAN LINGKUNGAN DENGAN METODE DINAMIKA SISTEM	Sistem Industri dan Rantai Nilai	2	lingkungan	Sistem Manufaktur	1	industri	True
381	PERANCANGAN INTEGRASI STANDAR JAMINAN HALAL DAN CARA PEMBUATAN OBAT YANG BAIK	Sistem Industri dan Rantai Nilai	1	standar		0		False
387	PENGARUH KEPERCAYAAN DAN RESIKO TERHADAP PENGGUNAAN MOBILE COMMERCE SECARA BERKELANJUTAN	Sistem Industri dan Rantai Nilai	2	berkelanjutan	Sistem Informasi dan Keputusan	1	mobile	True
391	OPTIMISASI JARINGAN PENGADAAN BATUBARA DENGAN METODE COAL BLENDING UNTUK PEMENUHAN KEBUTUHAN PLTU	Sistem Industri dan Rantai Nilai	2	batubara	Manajemen Industri	2	pengadaan	True
393	PERANCANGAN SISTEM AGROINDUSTRI TERPADU BERWAWASAN LINGKUNGAN MULTI SKALA PADA PETERNAKAN SAPI SEHAT GROUP CIKAMPEK JAWA BARAT	Sistem Industri dan Rantai Nilai	4	lingkungan;agroindustri		0		False
428	MODEL KONTRAK PEMELIHARAAN DUMPTRUCK PADA INDUSTRI PERTAMBANGAN DENGAN MEMPERTIMBANGKAN FAKTOR KONDISI OPERASI (BEBAN MUATAN, KEMIRINGAN JALAN, DAN KONDISI LINGKUNGAN)	Sistem Industri dan Rantai Nilai	2	lingkungan	Manajemen Industri	2	kontrak	True
446	ANALISIS PENINGKATAN NILAI TAMBAH INDUSTRI-INDUSTRI BERKADAR TEKNOLOGI RENDAH BAGI PEMBANGUNAN PEREKONOMIAN INDONESIA	Sistem Industri dan Rantai Nilai	2	nilai tambah	Sistem Manufaktur	1	industri	True
449	ENHANCING THE PARTICIPATION OF INDONESIA TEXTILE COMPANIES IN GREEN AND SUSTAINABLE INDUSTRY: INVESTIGATING THE INFLUENTIAL FACTORS AND THE TRIPLE BOTTOM LINE OUTPUT	Sistem Industri dan Rantai Nilai	1	green		0		False
456	PENGEMBANGAN MODEL COMPETITIVE PRIORITIES PADA INDUSTRI KECIL MENENGAH PROVINSI GORONTALO	Sistem Industri dan Rantai Nilai	2	competitive	Sistem Manufaktur	1	industri	True
459	METODE EVALUASI KEBIJAKAN PEMERINTAH PADA HAMBATAN TEKNIS PERDAGANGAN	Sistem Industri dan Rantai Nilai	2	kebijakan;pemerintah		0		False
467	KEBIJAKAN PEMELIHARAAN DUMPTRUCK DENGAN MEMPERTIMBANGKAN TINGKAT PENGGUNAAN DAN OPORTUNITAS PEMELIHARAAN	Sistem Industri dan Rantai Nilai	1	kebijakan		0		False
473	RECYCLING FUND & SUBSIDY FEES OPTIMIZATION OF ASEPTIC PAPER PACKAGING WASTE RECYCLING VALUE CHAIN SYSTEM	Sistem Industri dan Rantai Nilai	4	value chain;recycling		0		False
476	PERANCANGAN MODEL TRANSFER PENGETAHUAN PADA PEMENUHAN STANDAR KOMPONEN PESAWAT TERBANG	Sistem Industri dan Rantai Nilai	1	standar		0		False
480	APPLYING QUALITY FUNCTION DEPLOYMENT (QFD) AND FAILURE MODE AND EFFECT ANALYSIS (FMEA) TO SUBCONTRACTOR SELECTION IN ISO/IEC 17025 STANDARD	Sistem Industri dan Rantai Nilai	2	standard;ISO	Sistem Informasi dan Keputusan	1	deployment	True
491	DESIGN OF MEASUREMENTS FOR EVALUATING READINESS OF TECHNOWARE TO MEET THE REQUIRED STANDARD OF PRODUCTS	Sistem Industri dan Rantai Nilai	1	standard		0		False
492	MODEL PENENTUAN RUTE KENDARAAN DENGAN STRATEGI CROSS-DOCKING MEMPERTIMBANGKAN RUTE MAJEMUK	Sistem Industri dan Rantai Nilai	1	strategi	Manajemen Industri	1	strategi	True
495	IMPACT ANALYSIS OF NATIONAL STANDARD IN PALM COOKING OIL INDUSTRY IN INDONESIA	Sistem Industri dan Rantai Nilai	1	standard		0		False
496	PENGEMBANGAN METODE TAGUCHI&#8208;BACK PROPAGATION NETWORK (BPN) UNTUK PERBAIKAN KUALITAS KERAMIK BERKELANJUTAN	Sistem Industri dan Rantai Nilai	2	berkelanjutan		0		False
497	ANALISIS BUDAYA TERHADAP BIROKRASI PEMERINTAH DAERAH DALAM MENJALANKAN FUNGSI PEMBANGUNAN SESUAI DENGAN VISI PARADIGMA PEOPLE CENTERED DEVELOPMENT	Sistem Industri dan Rantai Nilai	1	pemerintah		0		False
503	PETRI NETS SIMULATION MODEL TO DEFINE QUEUE POLICY OF BAGGAGE HANDLING SYSTEM TO MINIMIZE PERCENTAGE OF FAILED BAGS	Sistem Industri dan Rantai Nilai	1	policy		0		False
521	ANALISIS PENINGKATAN NILAI TAMBAH INDUSTRI-INDUSTRI BERKADAR TEKNOLOGI RENDAH BAGI PEMBANGUNAN PEREKONOMIAN INDONESIA	Sistem Industri dan Rantai Nilai	2	nilai tambah	Sistem Manufaktur	1	industri	True
528	IDENTIFIKASI TAHAPAN USAHA PENGUSAHA FOUNDER DAN NON FOUNDER (Studi Kasus Pengusaha Komoditas Karet dan Logam, Komoditas Rajut dan Komoditas Keramik Industri Kecil di Bandung)	Sistem Industri dan Rantai Nilai	4	komoditas;karet	Sistem Manufaktur	1	industri	False
540	MODEL DINAMIKA SISTEM UNTUK MENGANALISIS KEBIJAKAN IMPOR KOMODITAS BAWANG MERAH	Sistem Industri dan Rantai Nilai	5	komoditas;impor;kebijakan		0		False
553	PENGEMBANGAN MODEL PEMILIHAN TEKNOLOGI GASIFIKASI BATUBARA DENGAN MENGINTEGRASIKAN PENGAMBILAN KEPUTUSAN RESEARCH AND DEVELOPMENT (R&D) DAN KEPUTUSAN OPERASIONAL PERUSAHAAN	Sistem Industri dan Rantai Nilai	2	batubara	Manajemen Industri	2	pengambilan keputusan	True
558	ANALISIS PENGARUH PEMBERIAN FASILITASI INFRASTRUKTUR DAN PERIZINAN TERHADAP PENINGKATAN EKSPOR COCOA BUTTER PADA KAWASAN EKONOMI KHUSUS KOMODITAS KAKAO	Sistem Industri dan Rantai Nilai	7	komoditas;kakao;ekspor;ekonomi		0		False
562	PERANCANGAN FASILITASI PERDAGANGAN KAWASAN EKONOMI KHUSUS PERIKANAN	Sistem Industri dan Rantai Nilai	1	ekonomi		0		False
568	PENGEMBANGAN KEBIJAKAN FASILITASI PERDAGANGAN PADA KAWASAN EKONOMI KHUSUS INDUSTRI HILIR KARET (Produk Ban di Sumatera Utara)	Sistem Industri dan Rantai Nilai	4	karet;kebijakan;ekonomi	Sistem Manufaktur	2	industri;produk	False
569	FASILITASI BIROKRASI PADA KAWASAN EKONOMI KHUSUS	Sistem Industri dan Rantai Nilai	1	ekonomi		0		False
570	PERANCANGAN ANALISIS KEBIJAKAN PENGEMBANGAN PASAR TRADISIONAL DI KABUPATEN CIREBON	Sistem Industri dan Rantai Nilai	1	kebijakan		0		False
571	MODEL PENENTUAN PASOKAN BAHAN BAKU KARET DAN GAS BUMI DALAM RANGKA HILIRISASI UNTUK INDUSTRI SARUNG TANGAN KARET	Sistem Industri dan Rantai Nilai	2	karet	Sistem Manufaktur	1	industri	True
572	ANALISIS DAMPAK KEBIJAKAN HARGA GABAH, BERAS, DAN PUPUK NASIONAL SERTA PENURUNAN TARIF BEA MASUK IMPOR BERAS DENGAN BATASAN KUOTA IMPOR	Sistem Industri dan Rantai Nilai	3	impor;kebijakan		0		False
576	ANALISIS PENGARUH KEBIJAKAN ROTAN DENGAN MENGGUNAKAN MODEL COMPUTALBE GENERAL EQUILIBRIUM (CGE)	Sistem Industri dan Rantai Nilai	1	kebijakan		0		False
581	PENGEMBANGAN MODEL PERANCANGAN KAPASITAS DAN PERENCANAAN PRODUKSI SECARA SIMULTAN PADA AGROINDUSTRI PENYULINGAN MINYAK NILAM	Sistem Industri dan Rantai Nilai	2	agroindustri	Sistem Manufaktur	1	produksi	True
586	MODEL TRANSFER PENGETAHUAN DI LINGKUNGAN LEMBAGA PENGAWASAN	Sistem Industri dan Rantai Nilai	2	lingkungan		0		False
590	PERANCANGAN MODEL PENGINTEGRASIAN DAN STANDAR TERINTEGRASI ISO 9001:2008 DAN ISO/IEC 17025:2005	Sistem Industri dan Rantai Nilai	2	standar;ISO	Manajemen Industri	2	ISO 9001	True
597	PERANCANGAN MODEL KESESUAIAN KOMPONEN TEKNOLOGI (TECHNOWARE) INDUSTRI TERHADAP PEMENUHAN STANDAR PRODUK (KASUS KAJIAN PADA PERSYARATAN UMUM RUMAH METERAN AIR : SNI 05-0666-1997)	Sistem Industri dan Rantai Nilai	3	SNI;standar	Sistem Manufaktur	2	industri;produk	True
601	ANALISIS PENGARUH KEBIJAKAN INVESTASI PEMERINTAH DAERAH TERHADAP PERTUMBUHAN EKONOMI DAERAH (STUDI KASUS : PROPINSI D.I.JOGJAKARTA)	Sistem Industri dan Rantai Nilai	4	pertumbuhan;kebijakan;pemerintah;ekonomi	Manajemen Industri	2	investasi	False
622	FORMULA MERGER COEFFICIENT DENGAN MELIBATKAN VOLUME PRODUKSI UNTUK PERANCANGAN TATA LETAK MODULAR	Sistem Industri dan Rantai Nilai	2	merger	Sistem Manufaktur	1	produksi	True
624	PENGARUH TEKNOLOGI TERHADAP DAYA SAING IKM KERAMIK HIAS PADA SENTRA INDUSTRI KERAMIK PLERED	Sistem Industri dan Rantai Nilai	2	daya saing	Sistem Manufaktur	1	industri	True
626	PERANCANGAN MODEL PENGUKURAN KOMPETENSI SUMBER DAYA MANUSIA (SDM) INDUSTRI DALAM MEMENUHI STANDAR PRODUK (KASUS KAJIAN: PERSYARATAN UMUM RUMAH METERAN AIR SNI 05-0666-1997)	Sistem Industri dan Rantai Nilai	3	SNI;standar	Sistem Manufaktur	2	industri;produk	True
632	PENGEMBANGAN MODEL UNTUK MENJAGA STABILITAS PASOKAN BAHAN BAKU PADA KOMODITAS POKOK (STUDI KASUS : BAHAN BAKU CPO (CRUDE PALM OIL) PADA PRODUK MINYAK GORENG)	Sistem Industri dan Rantai Nilai	6	komoditas;crude palm oil;CPO	Sistem Manufaktur	1	produk	False
637	SHELF SPACE OPTIMIZATION CONSIDERING PRODUCT PRICE, DISPLAY ORIENTATION, COST FACTOR AND ECONOMIC ORDER QUANTITY	Sistem Industri dan Rantai Nilai	1	economic	Manajemen Industri	1	cost	True
638	PERANCANGAN MODEL SISTEM MANAJEMEN KEHALALAN DAN KEAMANAN PANGAN TERINTEGRASI BERDASARKAN SNI ISO 22000:2009 DAN SISTEM JAMINAN HALALMUI, STUDI KASUS PADA PT.X)	Sistem Industri dan Rantai Nilai	3	SNI;ISO	Sistem Informasi dan Keputusan	2	keamanan	True
645	MODEL PENENTUAN MATRIK ASAL-TUJUAN KOMODITAS BERAS NASIONAL DENGAN MENGGUNAKAN MODA LAUT	Sistem Industri dan Rantai Nilai	2	komoditas		0		False
646	PENGEMBANGAN MODEL PENGGUNAAN SISTEM INFORMASI DAN DAMPAKNYA BAGI PENGGUNA SISTEM INFORMASI DENGAN MEMPERTIMBANGKAN FAKTOR-FAKTOR KONDISI LINGKUNGAN ORGANISASI DAN KARAKTERISTIK INDIVIDU	Sistem Industri dan Rantai Nilai	2	lingkungan	Sistem Informasi dan Keputusan	2	sistem informasi	True
648	MODEL PENGENDALIAN KESEIMBANGAN PASOKAN-PERMINTAAN KOMODITAS GULA PASIR DENGAN MEMPERHATIKAN INTER REGIONAL TRADE FLOWS	Sistem Industri dan Rantai Nilai	2	komoditas		0		False
652	MODEL KEBIJAKAN PENGEMBANGAN INDUSTRI BARANG JADI KARET DI SUMATERA SELATAN	Sistem Industri dan Rantai Nilai	3	karet;kebijakan	Sistem Manufaktur	1	industri	False
662	PENGEMBANGAN SEKTOR INDUSTRI MANUFAKTUR YANG BERKELANJUTAN DAN BERWAWASAN LINGKUNGAN DENGAN MENGGUNAKAN PENDEKATAN METODE INPUT OUTPUT DAN INDUSTRIAL POLLUTIONS PROJECTION SYSTEM (IPPS)Aplikasi Model: Industrial Pollution Projection System (IPPS)	Sistem Industri dan Rantai Nilai	4	berkelanjutan;lingkungan	Sistem Manufaktur	3	manufaktur;industri	True
664	PERANCANGAN MODEL PENGUKURAN TINGKAT KESIAPAN TECHNOWARE DAN HUMANWARE LABORATORIUM DALAM MEMENUHI PERSYARATAN SNI ISO/IEC 17025	Sistem Industri dan Rantai Nilai	3	SNI;ISO		0		False
669	PENGEMBANGAN MODEL PEMILIHAN TEKNOLOGI GASIFIKASI BATUBARA DENGAN MENGINTEGRASIKAN PENGAMBILAN KEPUTUSAN RESEARCH AND DEVELOPMENT (R&D) DAN KEPUTUSAN OPERASIONAL PERUSAHAAN	Sistem Industri dan Rantai Nilai	2	batubara	Manajemen Industri	2	pengambilan keputusan	True
673	ANALISIS PENGARUH PEMBERIAN FASILITASI INFRASTRUKTUR DAN PERIZINAN TERHADAP PENINGKATAN EKSPOR COCOA BUTTER PADA KAWASAN EKONOMI KHUSUS KOMODITAS KAKAO	Sistem Industri dan Rantai Nilai	7	komoditas;kakao;ekspor;ekonomi		0		False
684	PENERAPAN SISTEM MANAJEMEN LINGKUNGAN ISO 14001 PADA BADAN USAHA MILIK NEGARA	Sistem Industri dan Rantai Nilai	3	lingkungan;ISO	Manajemen Industri	1	manajemen	False
688	PERANCANGAN MODEL KAJI ULANG STANDAR DENGAN PENDEKATAN QUALITY FUNCTION DEPLOYMENT DAN BERBASIS TEKNOLOGI (Dimensi Inforware dan Orgaware untuk SNI IEC 60335-2-41:2009)	Sistem Industri dan Rantai Nilai	3	SNI;standar	Sistem Informasi dan Keputusan	1	deployment	False
695	PENGEMBANGAN METODOLOGI PENGUKURAN PELUANG PASAR DAN DAYA SAING INDUSTRI PENDUKUNG GALANGAN KAPAL DALAM NEGERI	Sistem Industri dan Rantai Nilai	2	daya saing	Sistem Manufaktur	1	industri	True
699	FORMULA MERGER COEFFICIENT DENGAN MELIBATKAN VOLUME PRODUKSI UNTUK PERANCANGAN TATA LETAK MODULAR	Sistem Industri dan Rantai Nilai	2	merger	Sistem Manufaktur	1	produksi	True
720	ANALISIS BIAYA LINGKUNGAN HIDUP DALAM PERHITUNGAN PENDAPATAN PERUSAHAAN DAN PENDAPATAN NASIONAL MELALUI KETERKAITAN AKUNTANSI MAKRO-AKUNTANSI MIKRO	Sistem Industri dan Rantai Nilai	2	lingkungan	Manajemen Industri	1	biaya	True
726	PERUMUSAN STRATEGI USAHA UNTUK PERUSAHAAN SEPATU KULIT PTA DENGAN MENGGUNAKAN PENDEKATAN QSPM (Quantitative Strategic Planning Matrix)	Sistem Industri dan Rantai Nilai	2	strategi;strategic	Manajemen Industri	1	strategi	True
731	PERANCANGAN METODE PENILAIAN KINERJA PERGURUAN TINGGI SWASTA UNTUK SUPLEMEN AKREDITASI	Sistem Industri dan Rantai Nilai	2	akreditasi	Manajemen Industri	1	kinerja	True
