No	Judul Tesis	Klasifikasi	Skor	Keywords	Klasifikasi_2	Skor_2	Keywords_2	Perlu_Review
15	PENGEMBANGAN MODEL FUTURE BEHAVIORAL INTENTION PADA KOMUNITAS PEJALAN KAKI DI KOTA BANDUNG		0			0		False
32	PENGEMBANGAN MODEL ANALISIS PERANAUGMENTED REALITY TERHADAP USER STICKINESS PADA M-COMMERCE		0			0		False
47	EVALUASI EFEK FITUR HAPTIC FEEDBACK PADA EXERGAMES BERBASIS VIRTUAL REALITY UNTUK ANGGOTA GERAK ATAS		0			0		False
76	MODEL PERSEDIAN PROBABILISTIK YANG MEMPERTIMBANGKAN LAJU PENAMBAHAN BOBOT, MULTI ITEM DAN FAKTOR OBSOLET		0			0		False
136	PENGEMBANGAN MODEL FAKTOR-FAKTOR YANG MENDORONG INTENSI PENULISAN ONLINE REVIEW PADA M-COMMERCE		0			0		False
145	PEMILIHAN DESAIN TERBAIK UNMANNED AERIAL VEHICLE MENGGUNAKAN METODE INTEGRASI PHYSICAL PROGRAMMING DAN COMPUTATIONAL FLUID DYNAMICS		0			0		False
169	PENGEMBANGAN MODEL EFEKTIVITAS E-LEARNING PADA PELATIHAN FUNGSIONAL PENERA DI PUSAT PENGEMBANGAN SUMBER DAYA KEMETROLOGIAN		0			0		False
182	INDIKATOR FISIOLOGIS UNTUK EVALUASI USABILITAS ALAT TEKNOLOGI TEPAT GUNA PENGOLAHAN PERTANIAN STUDI KASUS: EKSTRUDER		0			0		False
187	PENGEMBANGAN MODEL INTENSI MENGONSUMSI MAKANAN TRADISIONAL DENGAN MEMPERTIMBANGKAN PENGARUH KUALITAS MAKANAN TRADISIONAL, KEADILAN HARGA, EXPERIENTIAL VALUE, KEPUASAN, DAN EMOSI NOSTALGIA		0			0		False
208	PENGEMBANGAN MODEL PENGARUH LEARNER CHARACTERISTICS TERHADAP LEARNER ACHIEVEMENT DI PUSAT PENGEMBANGAN SUMBER DAYA KEMETROLOGIAN		0			0		False
239	PENGEMBANGAN METODE ANALISIS KARAKTERISTIK PROSES MENGGUNAKAN TEKNIK PROCESS MINING		0			0		False
242	PENGEMBANGAN MODEL INTENSI PENGGUNAAN MHEALTH DENGAN MENGGUNAKAN PUSH-PULL-MOORING FRAMEWORK		0			0		False
244	PEMODELAN INTENSI UNTUK TIDAK MENGGUNAKAN PONSEL SAAT BERMOTOR BERDASARKAN THEORY OF PLANNED BEHAVIOR DAN HEALTH BELIEF MODEL		0			0		False
247	PENGEMBANGAN MODEL PERCIEVED RISK TOURIST PADA MASA ADAPTASI KEBIASAAN BARU PANDEMI COVID-19 TERHADAP INTENTION TO TRAVEL		0			0		False
254	PENGEMBANGAN MODEL META-EVALUASI UNTUK PELATIHAN FUNGSIONAL PENERA		0			0		False
283	MODEL KERANGKA KERJA UNTUK MENENTUKAN KAPASITAS PENGISIAN DAYA OPTIMAL PADA STASIUN PENUKARAN BATERAI UNTUK SKUTER LISTRIK		0			0		False
307	INDONESIA NATIONAL RAW MATERIAL (FOR FURNITURE) DISTRIBUTION CENTRE SELECTION USING MIXED-INTEGER MATHEMATICAL MODEL		0			0		False
308	PENGEMBANGAN ALGORITMA PEMILIHAN KOMBINASI PAHAT DENGAN KRITERIA MEMINIMALKAN WAKTU PEMESINAN DENGAN MEMPERTIMBANGKAN CELAH MINIMUM		0			0		False
341	PENGEMBANGAN ALIRAN KERJA FLIGHT PHYSIC CONCEPTUAL DESIGN DAN WORK ASSIGNMENT FLIGHT PHYSIC CONCEPTUAL SIZING		0			0		False
378	PENGEMBANGAN MODEL FAKTOR-FAKTOR YANG MEMPENGARUHI KESEIMBANGAN KERJA-KEHIDUPAN		0			0		False
